,close_price,starting_price,high_price,low_price,trading_volume
20200320090700,205,208,209,205,3501
20200320090600,204,207,209,204,6006
20200320090300,202,200,202,200,1004
20200320090200,191,184,191,184,4389
20200319153500,191,191,191,191,34
20200319153000,191,191,191,191,2770
20200319151900,192,192,192,192,3000
20200319151600,195,195,195,195,320
20200319151500,195,195,195,195,5102
20200319151200,195,195,195,195,10
20200319151100,190,190,190,190,3104
20200319151000,190,190,190,190,800
20200319150900,190,190,190,190,300
20200319150800,190,190,190,190,6333
20200319150400,185,185,185,185,2700
20200319150200,185,186,186,185,4126
20200319150100,186,187,187,186,580
20200319145900,188,188,188,188,530
20200319145800,189,192,192,189,5791
20200319145600,193,193,193,193,170
20200319145400,194,193,194,193,132
20200319145100,196,196,196,196,100
20200319144600,196,192,196,192,8020
20200319144000,190,190,190,190,1600
20200319143900,190,189,190,189,704
20200319143800,190,192,192,190,19096
20200319143600,192,192,192,192,200
20200319143500,192,192,192,192,809
20200319143400,192,192,192,192,30
20200319143300,192,191,192,191,778
20200319143200,192,192,192,192,11
20200319142800,192,192,192,192,7000
20200319142700,191,195,195,190,13792
20200319142600,190,190,190,190,475
20200319142300,200,194,200,194,4999
20200319142200,200,193,200,193,3820
20200319142100,191,187,193,183,3361
20200319142000,187,188,188,187,3310
20200319141900,188,188,188,188,2005
20200319141800,195,195,195,195,1022
20200319141500,180,180,180,180,560
20200319141300,177,175,177,175,22050
20200319141000,187,200,200,187,80170
20200319140400,200,200,200,200,6333
20200319140000,204,204,204,204,10
20200319135900,200,200,200,200,200
20200319135700,201,203,203,201,3040
20200319135500,203,203,203,203,620
20200319135400,205,205,205,205,500
20200319135300,206,206,206,206,10
20200319135200,204,204,204,204,1
20200319135100,206,206,206,206,80
20200319134900,204,204,204,204,9
20200319134600,204,204,204,204,200
20200319134200,209,209,209,209,1
20200319134000,204,203,204,203,10959
20200319133700,203,203,203,203,11315
20200319133600,201,200,201,200,3684
20200319133500,200,200,200,200,499
20200319133400,200,200,200,200,1
20200319133200,199,199,199,199,1000
20200319133100,199,199,199,199,4000
20200319133000,201,201,201,201,500
20200319132900,198,198,198,197,14943
20200319132800,198,198,198,198,4000
20200319132700,202,202,202,202,2050
20200319132600,198,200,200,198,4041
20200319132500,202,202,202,202,1
20200319132200,202,202,202,202,1
20200319132000,201,201,201,201,1
20200319131600,203,203,203,203,5000
20200319131400,204,203,204,203,3339
20200319131300,203,200,203,200,8000
20200319131200,204,204,204,204,50
20200319131100,199,199,199,199,44
20200319131000,204,204,204,204,7
20200319130900,204,204,204,204,22
20200319130700,204,204,204,204,1
20200319130500,198,204,204,198,43
20200319130400,204,204,204,204,22
20200319130300,197,204,204,197,2642
20200319130200,204,204,204,198,73858
20200319130100,204,204,204,203,5041
20200319125900,207,207,207,207,4
20200319125700,207,207,207,207,176
20200319125600,207,207,209,207,14310
20200319125400,207,207,207,207,205
20200319125100,210,210,210,210,200
20200319124400,211,211,211,211,111
20200319124200,211,211,211,211,1
20200319124100,210,209,210,209,2020
20200319124000,208,205,208,205,16252
20200319123900,205,205,205,205,502
20200319123800,206,206,206,206,22
20200319123600,206,205,206,205,17
20200319120500,206,206,206,206,25
20200319120400,203,203,203,203,16301
20200319120300,206,206,206,206,11
20200319120200,203,203,203,203,7
20200319120000,204,205,205,204,16187
20200319115900,206,206,206,206,12
20200319115800,206,207,207,206,2721
20200319115400,207,207,207,207,400
20200319115200,209,209,209,209,10
20200319115100,210,210,210,210,11
20200319113800,207,207,207,207,2189
20200319113600,207,208,208,207,2844
20200319113100,213,208,213,208,4019
20200319113000,208,210,210,208,6792
20200319112800,209,213,213,209,6668
20200319112700,212,210,212,210,1466
20200319112600,215,207,215,207,4897
20200319112300,210,210,210,210,11
20200319112200,223,223,223,223,11
20200319112100,223,223,223,223,47
20200319112000,223,223,223,223,19
20200319111700,210,210,210,210,19
20200319111500,211,211,211,211,9821
20200319111100,225,225,225,225,11
20200319110700,209,209,209,209,2172
20200319110200,228,228,228,228,22
20200319110100,223,224,224,223,1361
20200319110000,230,230,230,226,120
20200319105900,235,235,235,235,13
20200319105800,235,223,236,223,21820
20200319105700,236,236,236,236,93087
20200319105500,223,207,223,207,20966
20200319105400,213,212,213,212,233
20200319105300,206,210,210,206,300
20200319105200,212,212,212,212,13
20200319105100,213,210,213,210,41
20200319105000,209,209,209,209,23
20200319104600,209,210,210,209,134
20200319104300,210,210,210,210,297
20200319104000,210,210,210,210,3
20200319103600,212,212,212,212,1483
20200319103400,213,213,213,213,20
20200319103300,213,212,213,212,376
20200319103200,213,212,213,212,2188
20200319103100,212,212,212,212,4565
20200319103000,211,210,211,210,4288
20200319102700,208,208,208,208,500
20200319102500,210,210,210,210,3000
20200319102300,210,210,210,210,20
20200319102100,210,210,210,210,767
20200319102000,209,209,209,209,1000
20200319101700,209,209,209,209,1068
20200319101300,210,210,210,210,1
20200319101200,203,203,203,203,558
20200319101100,210,210,210,210,10
20200319100900,205,205,205,205,273
20200319100800,205,206,206,201,29542
20200319100700,207,209,209,207,10529
20200319100600,209,210,210,209,528
20200319100500,210,212,212,210,10511
20200319100400,211,211,211,211,812
20200319100300,214,214,214,214,81
20200319100200,214,214,214,214,111
20200319100100,211,211,211,211,3111
20200319100000,215,215,215,215,22
20200319095900,215,211,215,211,2044
20200319095700,210,214,215,210,3701
20200319095600,215,211,218,211,1899
20200319095500,211,211,218,210,5044
20200319095400,210,214,214,210,23483
20200319095300,213,217,217,213,5003
20200319095200,217,217,217,217,4
20200319095100,216,216,216,216,100
20200319095000,216,217,217,216,6000
20200319094800,218,218,218,218,4400
20200319094600,218,219,219,218,1000
20200319094400,220,221,221,220,1499
20200319093400,221,224,224,221,5001
20200319093300,224,224,224,224,1003
20200319093200,224,224,224,221,2272
20200319093100,224,224,224,224,21
20200319092900,224,224,224,224,120
20200319092800,224,224,224,224,133
20200319092700,222,222,222,222,1032
20200319092300,224,224,224,224,5
20200319092000,225,225,225,225,1
20200319091800,225,225,225,225,133
20200319091700,220,221,221,220,3191
20200319091400,222,222,222,220,31998
20200319091300,222,222,222,222,3006
20200319091100,232,233,233,221,15
20200319091000,233,220,233,220,4622
20200319090700,220,226,226,220,5598
20200319090400,236,235,241,228,8233
20200319090300,233,228,233,228,10121
20200319090000,216,215,216,215,37999
20200318153500,225,225,225,225,161
20200318153200,225,225,225,225,4672
20200318151900,232,232,232,232,1
20200318151800,228,229,229,228,605
20200318151700,233,233,233,233,1
20200318151600,228,228,228,228,954
20200318151400,228,229,229,228,4309
20200318151300,229,229,229,229,2289
20200318151200,229,229,229,229,40
20200318150600,232,231,232,231,2
20200318150400,233,233,233,233,1
20200318150300,226,230,230,226,4451
20200318150100,231,231,231,231,248
20200318150000,231,231,231,231,4282
20200318145800,231,236,236,231,2691
20200318145500,234,234,234,234,1000
20200318145200,234,234,234,234,1
20200318144800,233,233,233,233,397
20200318144200,237,235,237,235,1000
20200318143700,236,234,236,234,222
20200318143600,234,234,234,234,90
20200318143500,234,234,234,234,1000
20200318143300,231,231,231,231,4070
20200318143200,232,232,234,232,661
20200318142800,235,235,235,235,1
20200318142700,231,232,232,231,8111
20200318142500,233,234,234,233,60
20200318142200,237,238,238,231,28958
20200318142100,240,240,240,240,130
20200318142000,240,240,240,240,400
20200318141800,239,239,242,239,126
20200318141700,239,239,239,239,3900
20200318141600,240,241,241,240,3815
20200318141200,243,243,243,243,1000
20200318135700,244,244,244,244,30
20200318135600,242,242,242,242,1300
20200318135300,244,244,244,244,123
20200318134800,243,243,243,243,688
20200318134700,245,245,245,245,1
20200318134200,245,245,245,245,112
20200318134100,245,244,245,244,222
20200318134000,244,244,244,244,2050
20200318133900,245,245,245,245,111
20200318133700,245,245,245,245,540
20200318133600,245,245,245,245,2156
20200318133500,244,244,244,244,2041
20200318132700,243,243,243,243,1
20200318132600,244,244,244,244,111
20200318132500,244,244,244,244,123
20200318132400,243,243,243,243,1011
20200318132300,243,243,243,243,122
20200318132200,243,243,243,243,111
20200318131900,244,244,244,244,1955
20200318130800,242,242,242,242,45
20200318130500,242,242,242,242,1
20200318130100,242,242,242,242,200
20200318125700,242,242,242,242,30
20200318125200,242,242,242,242,500
20200318124900,242,242,242,242,420
20200318124300,242,242,242,242,500
20200318124000,242,242,242,242,111
20200318123800,242,242,242,242,48
20200318123700,240,240,240,240,729
20200318123600,240,240,240,240,4019
20200318123500,241,241,241,241,251
20200318123400,242,242,242,242,38
20200318122800,242,242,242,242,111
20200318122700,242,242,242,242,250
20200318122600,242,242,242,242,3000
20200318122400,243,243,243,243,1502
20200318122300,244,244,244,244,2772
20200318122200,245,245,245,245,6400
20200318122000,246,245,246,245,3485
20200318121900,245,245,245,245,130
20200318121100,245,245,245,245,1919
20200318120900,245,245,245,245,111
20200318115900,246,245,246,245,1000
20200318115800,245,245,245,245,1000
20200318115700,245,246,246,245,956
20200318115600,246,246,246,246,233
20200318115500,244,244,244,244,5700
20200318115400,245,242,245,242,21354
20200318115300,242,242,242,242,2000
20200318115200,242,242,242,242,2261
20200318114700,241,241,241,241,3843
20200318114400,240,240,240,240,1778
20200318114000,241,241,241,241,637
20200318113600,241,241,241,241,1000
20200318113200,240,240,240,240,1508
20200318112600,242,242,242,242,40
20200318112000,242,242,242,242,111
20200318111700,242,242,242,242,11
20200318111500,242,242,242,242,58
20200318111400,242,242,242,239,100
20200318111300,242,240,242,240,8385
20200318111200,241,241,241,241,44
20200318111100,242,242,242,242,98
20200318111000,242,242,242,242,66
20200318110900,242,241,242,241,222
20200318110800,242,242,242,242,111
20200318110700,242,241,242,241,333
20200318110600,242,242,242,242,1
20200318110400,241,242,242,241,222
20200318110300,243,242,243,241,558
20200318110200,242,243,243,242,171
20200318110000,243,241,243,241,361
20200318105700,240,242,242,240,2500
20200318105300,244,244,244,244,2260
20200318104900,244,244,244,244,333
20200318104600,243,243,243,243,161
20200318103700,243,243,243,243,2888
20200318103600,244,243,244,243,1408
20200318103500,243,243,243,243,521
20200318103200,243,243,243,243,181
20200318103000,243,243,243,243,111
20200318102600,243,243,243,243,1
20200318102200,239,239,239,239,3223
20200318102100,244,244,244,244,39
20200318102000,244,243,244,243,461
20200318101900,243,243,243,243,444
20200318101800,243,243,244,243,444
20200318100600,242,242,242,242,700
20200318100500,244,239,244,239,528
20200318100400,236,242,242,236,2951
20200318100000,242,242,242,242,64
20200318095500,242,242,242,242,1170
20200318094900,243,243,243,243,4320
20200318094800,244,245,245,244,1826
20200318094700,245,245,245,245,1400
20200318094600,246,246,246,246,1
20200318094300,247,247,247,247,2800
20200318094200,248,248,248,248,1000
20200318094000,249,249,249,247,1250
20200318093800,248,248,248,248,1000
20200318093500,247,250,250,247,9000
20200318093100,250,250,250,250,4000
20200318092800,250,250,250,250,1
20200318092500,247,247,247,247,201
20200318092100,250,250,250,250,5
20200318091900,250,250,250,250,2
20200318091800,248,248,248,248,512
20200318091700,248,248,248,248,1100
20200318091600,252,252,252,252,20
20200318091500,248,249,249,248,5700
20200318091300,249,249,249,249,100
20200318091100,252,252,252,252,344
